Constituency,Raila,Ruto,Mwaure,Wajackoyah,ValidVotes
Ndaragwa,7236,30645,,,37881
Ol Jorok,7581,31982,140,164,39867
Ol Kalou,11202,35690,202,232,47326
Kieni,11894,62507,199,261,74861
Mathira,9328,63715,139,257,73439
Mukurweini,5514,34322,132,163,40131
Nyeri Town,12088,43576,237,286,56187
Othaya,7249,36606,145,205,44205
Tetu,5970,31781,130,172,38053
Samburu East,8147,9098,17,71,17333
Samburu North,14598,7015,17,63,21693
Samburu West,18992,12206,28,104,31330
Alego Usonga,85301,865,40,166,86372
Bondo,73603,720,22,94,74439
Gem,63438,702,41,143,64324
Rarieda,61067,661,40,141,61909
Ugenya,47252,842,49,103,48246
Ugunja,40540,517,17,88,41162
Mwatate,20376,6010,54,193,26633
Tavata,21069,6690,42,136,27937
Voi,22817,11990,,,34807
Wundayi,16847,4309,75,238,21469
Bura,,,,,0
Galole,7072,2297,,,9369
Garsen,16273,17140,,,33413
Chuka,5249,53038,173,345,58805
Maara,4902,45182,134,275,50493
Tharaka,4877,46582,154,522,52135
Cherengany,27219,34258,,,61477
Endebess,13954,18255,,,32209
Kiminini,34099,20665,,,54764
Kwanza,29040,16162,82,181,45465
Saboti,27269,26410,80,196,53955
Loima,13042,8025,36,57,21160
Turkana Central,18848,14089,82,128,33147
Turkana East,11080,1367,19,46,12512
Turkana North,15318,10675,,,25993
Turkana South,20472,3088,51,79,23690
Turkana West,17107,9288,44,86,26525
Ainabkoi,8620,35401,50,86,44157
Kapseret,14900,35218,60,92,50270
Kesses,8966,45653,61,88,54768
Moiben,6772,49625,54,51,56502
Soy,10824,55903,49,107,66883
Turbo,25950,51062,116,166,77294
Emuhaya,21531,9440,104,295,31370
Hamisi,31133,14589,86,282,46090
Luanda,24648,8851,,,33499
Sabatia,19171,21425,,,40596
Vihiga,17140,12432,84,233,29889
Eldas,,,,,0
Tarbaj,8912,9735,51,96,18794
Wajir East,13712,8152,36,120,22020
Wajir North,12853,8202,61,145,21261
Wajir South,18372,13072,,,31444
Wajir West,14845,6305,16,58,21224
Kacheluba,,,,,0
Kapenguria,15042,35242,57,101,50442
Pokot South,17489,28825,66,132,46512
Sigor,13774,21261,55,102,35192
Diaspora,3435,1840,,,
